SecurityID,TradingTime,TradePx,TradeAmount,TradeValue,OrderNo,OfferNo,TradeNo,ChannelCode,SBMark,SerialNo,SendingTime
600519,20230320092500800,1751.0,500,875500.0,199870,203018,14884,6,N,107585,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,204924,14885,6,N,107586,20230320092501
600519,20230320092500800,1751.0,500,875500.0,199870,207690,14886,6,N,107587,20230320092501
600519,20230320092500800,1751.0,500,875500.0,199870,209639,14887,6,N,107588,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,203971,14888,6,N,107589,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,205204,14889,6,N,107590,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,209771,14890,6,N,107591,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,210390,14891,6,N,107592,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,217653,14892,6,N,107593,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,203695,14893,6,N,107594,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,205496,14894,6,N,107595,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,206293,14895,6,N,107596,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,206828,14896,6,N,107597,20230320092501
600519,20230320092500800,1751.0,300,525300.0,199870,210921,14897,6,N,107598,20230320092501
600519,20230320093000000,1751.8,100,175180.0,219854,200332,28927,6,B,254333,20230320092931
600519,20230320093000000,1751.0,100,175100.0,199870,219863,28938,6,S,254349,20230320092931
600519,20230320093000020,1751.82,100,175182.0,219879,134078,28998,6,B,254419,20230320092931
600519,20230320093000020,1752.0,100,175200.0,219879,141770,28999,6,B,254420,20230320092931
600519,20230320093000020,1752.0,100,175200.0,219991,180966,29261,6,B,254767,20230320092931
600519,20230320093000090,1751.5,200,350300.0,219922,220182,29714,6,S,255364,20230320092931
600519,20230320093000090,1752.0,100,175200.0,220278,212957,29821,6,B,255555,20230320092931
600519,20230320093000130,1753.89,100,175389.0,220412,143878,30088,6,B,255942,20230320092931
600519,20230320093000130,1754.0,100,175400.0,220412,110820,30089,6,B,255943,20230320092931
600519,20230320093000130,1754.0,100,175400.0,220412,189552,30090,6,B,255944,20230320092931
600519,20230320093000130,1754.32,100,175432.0,220412,82828,30091,6,B,255945,20230320092931
600519,20230320093000130,1754.9,100,175490.0,220412,202631,30092,6,B,255946,20230320092931
600519,20230320093000230,1754.98,100,175498.0,221414,196138,30857,6,B,257545,20230320092931
600519,20230320093000270,1752.0,100,175200.0,220963,221751,31088,6,S,258091,20230320092931
600519,20230320093000340,1752.0,200,350400.0,220963,222181,31351,6,S,258724,20230320092931
600519,20230320093000340,1752.0,100,175200.0,220963,222757,31655,6,S,259515,20230320092931
600519,20230320093000430,1755.0,100,175500.0,224265,11333,32156,6,B,261354,20230320092931
600519,20230320093000430,1752.0,100,175200.0,220963,224745,32301,6,S,261931,20230320092931
600519,20230320093000560,1752.0,400,700800.0,220963,225041,32375,6,S,262269,20230320092931
