TradingTime,SecurityID,CommissionOrderNo,CommissionPx,COmmissionAmount,TradeMark,OrderCategory,CommissionNo,ChannelNo,SerialNo
2023-03-20 09:20:58,600519.0,169245.0,1916.2,100.0,S,A,92314.0,6.0,107020.0
2023-03-20 09:21:00,600519.0,169388.0,1730.11,100.0,B,A,92315.0,6.0,107021.0
2023-03-20 09:21:02,600519.0,169636.0,1761.0,100.0,S,A,92316.0,6.0,107022.0
2023-03-20 09:21:03,600519.0,169799.0,1748.0,200.0,S,A,92317.0,6.0,107023.0
2023-03-20 09:21:05,600519.0,170098.0,1768.5,200.0,S,A,92319.0,6.0,107025.0
2023-03-20 09:21:06,600519.0,170239.0,1749.99,400.0,S,A,92322.0,6.0,107028.0
2023-03-20 09:21:07,600519.0,170408.0,1740.0,100.0,B,A,92323.0,6.0,107029.0
2023-03-20 09:21:08,600519.0,170479.0,1748.37,100.0,S,A,92325.0,6.0,107031.0
2023-03-20 09:21:09,600519.0,170550.0,1818.0,300.0,S,A,92326.0,6.0,107032.0
2023-03-20 09:21:10,600519.0,170782.0,1799.96,100.0,S,A,92328.0,6.0,107034.0
2023-03-20 09:21:11,600519.0,170837.0,1760.0,100.0,B,A,92330.0,6.0,107036.0
2023-03-20 09:21:12,600519.0,171020.0,1740.0,100.0,B,A,92332.0,6.0,107038.0
2023-03-20 09:21:14,600519.0,171237.0,1797.9,100.0,S,A,92335.0,6.0,107041.0
2023-03-20 09:21:17,600519.0,171638.0,1735.0,100.0,B,A,92337.0,6.0,107043.0
2023-03-20 09:21:18,600519.0,171681.0,1916.2,100.0,B,A,92338.0,6.0,107044.0
2023-03-20 09:21:20,600519.0,171887.0,1567.8,100.0,S,A,92339.0,6.0,107045.0
2023-03-20 09:21:21,600519.0,172077.0,1739.0,100.0,B,A,92340.0,6.0,107046.0
2023-03-20 09:21:22,600519.0,172216.0,1799.98,100.0,S,A,92341.0,6.0,107047.0
2023-03-20 09:21:23,600519.0,172304.0,1701.11,100.0,B,A,92342.0,6.0,107048.0
2023-03-20 09:21:24,600519.0,172419.0,1916.2,200.0,S,A,92343.0,6.0,107049.0
2023-03-20 09:21:26,600519.0,172725.0,1726.51,100.0,B,A,92345.0,6.0,107051.0
2023-03-20 09:21:28,600519.0,173001.0,1759.99,100.0,S,A,92347.0,6.0,107053.0
2023-03-20 09:21:30,600519.0,173269.0,1760.0,1000.0,B,A,92349.0,6.0,107055.0
2023-03-20 09:21:31,600519.0,173475.0,1828.92,100.0,B,A,92350.0,6.0,107056.0
2023-03-20 09:21:32,600519.0,173484.0,1794.26,200.0,B,A,92351.0,6.0,107057.0
2023-03-20 09:21:33,600519.0,173623.0,1737.2,100.0,B,A,92353.0,6.0,107059.0
2023-03-20 09:21:34,600519.0,173848.0,1829.1,100.0,B,A,92354.0,6.0,107060.0
2023-03-20 09:21:35,600519.0,173857.0,1654.9,100.0,S,A,92355.0,6.0,107061.0
2023-03-20 09:21:36,600519.0,174084.0,1773.5,100.0,S,A,92357.0,6.0,107063.0
2023-03-20 09:21:37,600519.0,174200.0,1750.0,5000.0,S,A,92358.0,6.0,107064.0
2023-03-20 09:21:39,600519.0,174420.0,1916.2,100.0,B,A,92359.0,6.0,107065.0
2023-03-20 09:21:40,600519.0,174757.0,1777.0,100.0,S,A,92361.0,6.0,107067.0
2023-03-20 09:21:41,600519.0,174777.0,1717.62,100.0,S,A,92362.0,6.0,107068.0
2023-03-20 09:21:43,600519.0,175117.0,1728.0,100.0,B,A,92363.0,6.0,107069.0
2023-03-20 09:21:44,600519.0,175296.0,1770.0,100.0,S,A,92364.0,6.0,107070.0
2023-03-20 09:21:46,600519.0,175566.0,1833.08,200.0,S,A,92367.0,6.0,107073.0
2023-03-20 09:21:47,600519.0,175699.0,1717.19,100.0,B,A,92368.0,6.0,107074.0
2023-03-20 09:21:49,600519.0,175923.0,1822.0,200.0,S,A,92370.0,6.0,107076.0
2023-03-20 09:21:50,600519.0,176060.0,1740.0,100.0,S,A,92371.0,6.0,107077.0
2023-03-20 09:21:51,600519.0,176285.0,1758.58,1000.0,S,A,92374.0,6.0,107080.0
2023-03-20 09:21:52,600519.0,176369.0,1765.0,100.0,S,A,92375.0,6.0,107081.0
2023-03-20 09:21:54,600519.0,176666.0,1775.0,100.0,S,A,92379.0,6.0,107085.0
2023-03-20 09:21:55,600519.0,176756.0,1725.0,100.0,B,A,92380.0,6.0,107086.0
2023-03-20 09:21:56,600519.0,176935.0,1770.0,100.0,S,A,92381.0,6.0,107087.0
2023-03-20 09:21:58,600519.0,177089.0,1770.0,300.0,S,A,92382.0,6.0,107088.0
